current_state,previous_state,estimate,margin_of_error,year
AK,AL,477,790.0,2010
AK,AR,47,78.0,2010
AK,AZ,1354,805.0,2010
AK,CA,3906,1041.0,2010
AK,CO,1930,866.0,2010
AK,CT,0,246.0,2010
AK,DC,14,23.0,2010
AK,DE,0,246.0,2010
AK,FL,2315,1026.0,2010
AK,GA,1251,902.0,2010
AK,HI,1705,1289.0,2010
AK,IA,262,349.0,2010
AK,ID,895,524.0,2010
AK,IL,388,293.0,2010
AK,IN,9,24.0,2010
AK,KS,106,107.0,2010
AK,KY,1440,1506.0,2010
AK,LA,100,171.0,2010
AK,MA,107,183.0,2010
AK,MD,704,460.0,2010
AK,ME,574,655.0,2010
AK,MI,923,814.0,2010
AK,MN,530,409.0,2010
AK,MO,0,246.0,2010
AK,MS,263,386.0,2010
AK,MT,616,507.0,2010
AK,NC,698,587.0,2010
AK,ND,69,89.0,2010
AK,NE,215,259.0,2010
AK,NH,316,368.0,2010
AK,NJ,413,501.0,2010
AK,NM,421,446.0,2010
AK,NV,240,247.0,2010
AK,NY,255,206.0,2010
AK,OH,156,213.0,2010
AK,OK,1455,971.0,2010
AK,OR,1793,1104.0,2010
AK,PA,126,164.0,2010
AK,RI,0,246.0,2010
AK,SC,121,153.0,2010
AK,SD,531,817.0,2010
AK,TN,477,341.0,2010
AK,TX,4123,1774.0,2010
AK,UT,1274,926.0,2010
AK,VA,714,681.0,2010
AK,VT,353,429.0,2010
AK,WA,2421,790.0,2010
AK,WI,158,198.0,2010
AK,WV,0,246.0,2010
AK,WY,81,131.0,2010
AL,AK,3013,1452.0,2010
AL,AR,1481,1038.0,2010
AL,AZ,676,606.0,2010
AL,CA,3827,1660.0,2010
AL,CO,1278,778.0,2010
AL,CT,454,694.0,2010
AL,DC,211,186.0,2010
AL,DE,811,694.0,2010
AL,FL,15062,3138.0,2010
AL,GA,21644,3955.0,2010
AL,HI,267,440.0,2010
AL,IA,669,882.0,2010
AL,ID,304,399.0,2010
AL,IL,2503,1224.0,2010
AL,IN,3945,1979.0,2010
AL,KS,649,516.0,2010
AL,KY,1967,1192.0,2010
AL,LA,1901,868.0,2010
AL,MA,435,396.0,2010
AL,MD,716,458.0,2010
AL,ME,97,158.0,2010
AL,MI,2334,1294.0,2010
AL,MN,386,358.0,2010
AL,MO,1373,1180.0,2010
AL,MS,7233,2367.0,2010
AL,MT,229,182.0,2010
AL,NC,2371,945.0,2010
AL,ND,169,213.0,2010
AL,NE,169,286.0,2010
AL,NH,0,273.0,2010
AL,NJ,356,285.0,2010
AL,NM,650,749.0,2010
AL,NV,265,297.0,2010
AL,NY,3686,2920.0,2010
AL,OH,2222,931.0,2010
AL,OK,880,609.0,2010
AL,OR,485,435.0,2010
AL,PA,1477,696.0,2010
AL,RI,0,273.0,2010
AL,SC,2368,1142.0,2010
AL,SD,31,62.0,2010
