Division to Region per Year,Estimate
D6 to R4 2010,45387
D7 to R4 2010,171459
D8 to R4 2010,348792
D9 to R4 2010,469022
D1 to R4 2010,46701
D5 to R4 2010,206428
D4 to R4 2010,102138
D3 to R4 2010,145625
D2 to R4 2010,90055
D9 to R3 2010,300930
D7 to R3 2010,327183
D8 to R3 2010,177371
D1 to R3 2010,111818
D5 to R3 2010,890562
D4 to R3 2010,150758
D3 to R3 2010,356381
D6 to R3 2010,271232
D2 to R3 2010,336763
D9 to R1 2010,99244
D6 to R1 2010,17222
D7 to R1 2010,41708
D8 to R1 2010,39678
D5 to R1 2010,240247
D4 to R1 2010,23469
D3 to R1 2010,77871
D1 to R1 2010,163944
D2 to R1 2010,268201
D9 to R2 2010,115049
D6 to R2 2010,69877
D7 to R2 2010,114302
D8 to R2 2010,104113
D1 to R2 2010,24985
D5 to R2 2010,187526
D3 to R2 2010,305332
D4 to R2 2010,229954
D2 to R2 2010,71902
D6 to R4 2011,46082
D7 to R4 2011,162727
D8 to R4 2011,389991
D9 to R4 2011,489422
D1 to R4 2011,42514
D5 to R4 2011,208592
D4 to R4 2011,106270
D3 to R4 2011,161515
D2 to R4 2011,97587
D9 to R3 2011,304849
D7 to R3 2011,327859
D8 to R3 2011,191236
D1 to R3 2011,120885
D5 to R3 2011,894327
D4 to R3 2011,156974
D3 to R3 2011,364995
D6 to R3 2011,275844
D2 to R3 2011,358619
D9 to R1 2011,93600
D6 to R1 2011,25266
D7 to R1 2011,38386
D8 to R1 2011,40241
D5 to R1 2011,249911
D4 to R1 2011,23352
D3 to R1 2011,74697
D1 to R1 2011,167490
D2 to R1 2011,273133
D9 to R2 2011,125701
D6 to R2 2011,81710
D7 to R2 2011,120695
D8 to R2 2011,122582
D1 to R2 2011,32518
D5 to R2 2011,196424
D3 to R2 2011,308953
D4 to R2 2011,232512
D2 to R2 2011,79957
D6 to R4 2012,55111
D7 to R4 2012,169060
D8 to R4 2012,377154
D9 to R4 2012,494941
D1 to R4 2012,56924
D5 to R4 2012,209555
D4 to R4 2012,111863
D3 to R4 2012,158165
D2 to R4 2012,116334
D9 to R3 2012,295325
D7 to R3 2012,330109
D8 to R3 2012,202279
D1 to R3 2012,110641
D5 to R3 2012,913956
D4 to R3 2012,156310
D3 to R3 2012,361423
D6 to R3 2012,285786
D2 to R3 2012,382859
D9 to R1 2012,84814
D6 to R1 2012,18858
D7 to R1 2012,41847
D8 to R1 2012,40032
D5 to R1 2012,241050
D4 to R1 2012,19277
D3 to R1 2012,65945
D1 to R1 2012,179146
D2 to R1 2012,283579
D9 to R2 2012,126127
D6 to R2 2012,83249
D7 to R2 2012,124666
D8 to R2 2012,115126
D1 to R2 2012,26292
D5 to R2 2012,210398
D3 to R2 2012,309676
D4 to R2 2012,233018
D2 to R2 2012,79450
D6 to R4 2013,51895
D7 to R4 2013,177468
D8 to R4 2013,380015
D9 to R4 2013,504479
D1 to R4 2013,50726
D5 to R4 2013,231323
D4 to R4 2013,119520
D3 to R4 2013,151752
D2 to R4 2013,115958
D9 to R3 2013,312531
D7 to R3 2013,341697
D8 to R3 2013,209295
D1 to R3 2013,119156
D5 to R3 2013,923487
D4 to R3 2013,152466
D3 to R3 2013,377450
D6 to R3 2013,277378
D2 to R3 2013,382299
D9 to R1 2013,92399
D6 to R1 2013,20038
D7 to R1 2013,48406
D8 to R1 2013,38834
D5 to R1 2013,250053
D4 to R1 2013,22172
D3 to R1 2013,69532
D1 to R1 2013,180145
D2 to R1 2013,274110
D9 to R2 2013,135371
D6 to R2 2013,78548
D7 to R2 2013,119641
D8 to R2 2013,113372
D1 to R2 2013,29915
D5 to R2 2013,215315
D3 to R2 2013,320091
D4 to R2 2013,241809
D2 to R2 2013,78687
D6 to R4 2014,50882
D7 to R4 2014,191653
D8 to R4 2014,395485
D9 to R4 2014,516736
D1 to R4 2014,48941
D5 to R4 2014,227886
D4 to R4 2014,126300
D3 to R4 2014,168479
D2 to R4 2014,127044
D9 to R3 2014,312465
D7 to R3 2014,325689
D8 to R3 2014,204701
D1 to R3 2014,125459
D5 to R3 2014,954891
D4 to R3 2014,165971
D3 to R3 2014,370967
D6 to R3 2014,279356
D2 to R3 2014,386644
D9 to R1 2014,89244
D6 to R1 2014,23352
D7 to R1 2014,46081
D8 to R1 2014,43234
D5 to R1 2014,242131
D4 to R1 2014,22565
D3 to R1 2014,65628
D1 to R1 2014,175341
D2 to R1 2014,277877
D9 to R2 2014,129550
D6 to R2 2014,89161
D7 to R2 2014,125398
D8 to R2 2014,113168
D1 to R2 2014,31263
D5 to R2 2014,204587
D3 to R2 2014,350330
D4 to R2 2014,232774
D2 to R2 2014,92936
D6 to R4 2015,56347
D7 to R4 2015,188609
D8 to R4 2015,376275
D9 to R4 2015,536173
D1 to R4 2015,61650
D5 to R4 2015,248472
D4 to R4 2015,122606
D3 to R4 2015,181172
D2 to R4 2015,126035
D9 to R3 2015,282457
D7 to R3 2015,358118
D8 to R3 2015,203486
D1 to R3 2015,137831
D5 to R3 2015,984890
D4 to R3 2015,177363
D3 to R3 2015,390468
D6 to R3 2015,305395
D2 to R3 2015,428213
D9 to R1 2015,83965
D6 to R1 2015,19204
D7 to R1 2015,47558
D8 to R1 2015,42659
D5 to R1 2015,231249
D4 to R1 2015,21817
D3 to R1 2015,69870
D1 to R1 2015,174918
D2 to R1 2015,295912
D9 to R2 2015,129894
D6 to R2 2015,87208
D7 to R2 2015,126669
D8 to R2 2015,116938
D1 to R2 2015,34728
D5 to R2 2015,199738
D3 to R2 2015,340514
D4 to R2 2015,252766
D2 to R2 2015,88962
D6 to R4 2016,55370
D7 to R4 2016,189087
