state,year,population
AK,2010,713910
AK,2011,722128
AK,2012,730443
AK,2013,737068
AK,2014,736283
AK,2015,737498
AK,2016,741456
AK,2017,739700
AK,2018,735139
AK,2019,731545
AL,2010,4785437
AL,2011,4799069
AL,2012,4815588
AL,2013,4830081
AL,2014,4841799
AL,2015,4852347
AL,2016,4863525
AL,2017,4874486
AL,2018,4887681
AL,2019,4903185
AR,2010,2921964
AR,2011,2940667
AR,2012,2952164
AR,2013,2959400
AR,2014,2967392
AR,2015,2978048
AR,2016,2989918
AR,2017,3001345
AR,2018,3009733
AR,2019,3017804
AZ,2010,6407172
AZ,2011,6472643
AZ,2012,6554978
AZ,2013,6632764
AZ,2014,6730413
AZ,2015,6829676
AZ,2016,6941072
AZ,2017,7044008
AZ,2018,7158024
AZ,2019,7278717
CA,2010,37319502
CA,2011,37638369
CA,2012,37948800
CA,2013,38260787
CA,2014,38596972
CA,2015,38918045
CA,2016,39167117
CA,2017,39358497
CA,2018,39461588
CA,2019,39512223
CO,2010,5047349
CO,2011,5121108
CO,2012,5192647
CO,2013,5269035
CO,2014,5350101
CO,2015,5450623
CO,2016,5539215
CO,2017,5611885
CO,2018,5691287
CO,2019,5758736
CT,2010,3579114
CT,2011,3588283
CT,2012,3594547
CT,2013,3594841
CT,2014,3594524
CT,2015,3587122
CT,2016,3578141
CT,2017,3573297
CT,2018,3571520
CT,2019,3565287
DC,2010,605226
DC,2011,619800
DC,2012,634924
DC,2013,650581
DC,2014,662328
DC,2015,675400
DC,2016,685815
DC,2017,694906
DC,2018,701547
DC,2019,705749
DE,2010,899593
DE,2011,907381
DE,2012,915179
DE,2013,923576
DE,2014,932487
DE,2015,941252
DE,2016,948921
DE,2017,956823
DE,2018,965479
DE,2019,973764
FL,2010,18845537
FL,2011,19053237
FL,2012,19297822
FL,2013,19545621
FL,2014,19845911
FL,2015,20209042
FL,2016,20613477
FL,2017,20963613
FL,2018,21244317
FL,2019,21477737
GA,2010,9711881
GA,2011,9802431
GA,2012,9901430
GA,2013,9972479
GA,2014,10067278
GA,2015,10178447
GA,2016,10301890
GA,2017,10410330
GA,2018,10511131
GA,2019,10617423
HI,2010,1363963
HI,2011,1379329
HI,2012,1394804
HI,2013,1408243
HI,2014,1414538
HI,2015,1422052
HI,2016,1427559
HI,2017,1424393
HI,2018,1420593
HI,2019,1415872
IA,2010,3050745
IA,2011,3066336
IA,2012,3076190
IA,2013,3092997
IA,2014,3109350
IA,2015,3120960
IA,2016,3131371
IA,2017,3141550
IA,2018,3148618
IA,2019,3155070
ID,2010,1570746
ID,2011,1583910
ID,2012,1595324
ID,2013,1611206
ID,2014,1631112
ID,2015,1651059
ID,2016,1682380
ID,2017,1717715
ID,2018,1750536
ID,2019,1787065
IL,2010,12840503
IL,2011,12867454
IL,2012,12882510
IL,2013,12895129
IL,2014,12884493
IL,2015,12858913
IL,2016,12820527
IL,2017,12778828
IL,2018,12723071
IL,2019,12671821
IN,2010,6490432
IN,2011,6516528
IN,2012,6537703
IN,2013,6568713
IN,2014,6593644
IN,2015,6608422
IN,2016,6634304
IN,2017,6658078
IN,2018,6695497
IN,2019,6732219
KS,2010,2858190
KS,2011,2869225
KS,2012,2885257
KS,2013,2893212
KS,2014,2900475
KS,2015,2909011
KS,2016,2910844
KS,2017,2908718
KS,2018,2911359
KS,2019,2913314
KY,2010,4348181
KY,2011,4369821
KY,2012,4386346
KY,2013,4404659
KY,2014,4414349
KY,2015,4425976
KY,2016,4438182
